Post,Comments
"hello guys, i got the selected msg for Ms(CNS) can anyone of u tell me the credentials which i need to take with me for addmission and also the first appearence fee... thanks..",{'Aanif Zia Taimuri': {}}
Koi senior btaye ga ka MS data science ki classes kitna din or timing kia hoti hain?,{}
Jin ki Last date 27 ha fee submission ki....kya un ki b 30 tk extend hogai ha???,"{'Hassan Zaheer': {}, 'Jason Smith': {}}"
Agar kisi ka naam fast Peshawar main ata hai tou Kia usska naam fast isb ki kisi aur field main aasakhta hai ? Aur migration karwa sakhtey hein aesay?,"{'Jason Smith': {'text': ""Real life isn't working on Let & suppose.Go for FAST Peshawar.Migration is possible after 4th semester !""}, 'Muhammad Junaid Ali': {}}"
Suna hai Documents n fee submition date extend ho gai hai .... its 30th July now,"{'Hyder Naqvi': {}, 'Faizan Hasan': {}}"
"AOA, Any student from FAST Islamabad doing MS CS or MS CNS.",{}
i received email of conditional admission in fast peshwar campus bscs .....fast peshwar campus kesa ha seniors se guzarish ha apne  raye ka izhar karien?,"{'Jason Smith': {}, 'Muhammad Saad Karim': {'text': 'Acha campus h'}}"
AOA FAST Islamabad mn MS CNS k fall 2018 ka time table ksi k pas ho ga?,{}
Can we apply now for BBA in FAST ?,{'Saad Gulfam': {}}
Ager status not selected ho to matlb ab final result aa gaya oar selection ni hoi??? Oar kya not selection walo ka score ni btaty?😭,"{'Noorulain Noor': {}, 'Hani Syed': {'text': 'mujy to Peshawar suggest krdia. pr mera Comsats mai aggregate merit pr ha.aur meri preference b Comsats Isb ha'}}"
Can any one guide which will be better cs from fast or cs from nust?,"{'Muddassir Lateef': {'text': 'Fast'}, 'Nasir Hussain': {'text': 'Fast'}}"
Closing merit kahan sy pata chaly ga?,{'Mubeen Abid': {}}
,{}
,{}
Today a email came to me from Fast. They were saying that i am not selected in Islamabad campus but selected in Karachi campus (BBA). Kiya kisi aur ko be aise mail aye?,"{'Aimen Mughal': {}, 'Aamir Kamal': {'text': 'tum na Karachi campus k liya be apply kiya tha ?'}}"
,"{'Mubashir Ali': {}, 'Aafaq Hussain': {}}"
"Dear members AOA How is MBA at Fast? Which specialization is better finance, HRM ? Does the graduates from Non-business background face some difficulty in studying as compared to the graduates from business background. Can anyone from non-business background who studied MBA at Fast can share his/her experince. Sincere suggestion will highly be appreciated.... Thanks in advance  Jazak Allah","{'Zain Iqbal': {'text': 'In my batch back in 2015 they rejected the applicants from other backgrounds for the 1.5 yeas MBA program. As per their criteria they were eligible for 2 years program but unfortunately there were not enough students who got enrolled in the 2 years pro…See More'}, 'Arham Zulfiqar': {'text': 'As per my Knowledge you are ineligible if you have a non business background!Do confirm!'}}"
,{'Usama Khadim': {}}
,{}
Yaar peshawar campus main kiya halaat hain plzz btao,"{'Muhammad Junaid Ali': {}, 'Hassaan Rajput': {}}"
,"{'Mustafa Prince': {}, 'Rehan Shabbir': {'text': 'Aap select huay ho cyber security mein?'}}"
Karachi ky bscs and bs(se) ki last seat kitne pe gai?,"{'Mubashir Ali': {'text': 'SE ki 55 hai last. Or CS ki 58, 59 tak gyi'}}"
Guys plz give me Info about BS AI,"{'Haris Ahmad': {'text': 'I mean Bs ai karna chahye ya bscs ya bs cyber'}, 'Rehan Shabbir': {}}"
"Friends, is there any process of migration from one campus of fast to another campus? I mean, if you clear 2, 3 semester in fast and then there is migration till Lahore or Peshawar?","{'Mubashir Ali': {'text': ""If you're selected in isb then you can transfer to Peshawar before classes, but for lhr you have to give entry test again after one year. (In case your merit is low for lhr)""}, 'Ahsan Khalid': {'text': 'Yar mujy peshawer main CS main admission mila hai aggregate 55.90 hai.. main islamabad maim accounting and finance main admission mil sakta.. Accounting ka aggregate 50 hai aur mera 55.90'}}"
Aoa Guys fast faisalabad campus lahore k comparison ma kesa ha??,{}
I want information regarding MBA. Do FASt offer MBA in morning or evening? Plus how many days in a week clases are there ? Normally timings of a day??,"{'Muhammad Wasay Shahid': {}, 'Fatima Tahir': {}}"
,"{'Shakeel Sial': {'text': 'Jis jis ka admisson hao hai,,Welcome to Hell of CS'}, 'Muhammad Shehroz Ali Khan': {}}"
AOA  Yar maine 2nd year main 1st year k paper cancel kia tha jis ki waja se mera pass cancellation dmc hai jis main total marks ni hai aur 2nd year result awaiting hai tu ab kia karna hai yeh 1st year cancellation dmc submit karo??,{'Syed Abdullah Mughees Zaidi': {}}
"A leading IT company based in Islamabad is urgently hiring Java Developer  For Java Developer role the resource must have 2-3 years of total work experience in core java, development, J2EE, strong in OOP, experience of dealing with ERP projects will be a huge plus. -Job timings: 11 am - 8 pm Excellent package will be offered to the shortlisted resource. Only those apply who can work in the above mentioned office timings. Apply at: ehtishamhrm7@gmail.com (Mention Java Developer in subject)",{}
Fast ke qareeb koi hostels ka bata de yar 😇,"{'Umar Munir': {}, 'Saba Afzal': {}}"
Ms ki list kb tk.upload hoge?? Any idea 😔😔,"{'Usama Arshad': {'text': 'ATika Shahid ab tak list nahi lagi ?'}, 'Quassain Raza': {}}"
Is there any possibility to transfer admission (MS) from ISB campus to LHR campus?,{'Farhan G Awan': {}}
"(Good Oppertunity For Male & Female ( Part Time & Full Time)) Looking for staff for our Office HR management , Financial Education, Customer care projects and Sales work with us 3 to 4 hours and earn good income  Education:intermediate  Location Rwp/Isb Only ... Good communication skills required. Male and Females can apply. Interested candidate are encourage to apply and send me their details through sms or CV's to the given Whatsapp number.03055761706 Name Qualification City Name Cell No# Experience",{}
,{'Precious Tamana': {}}
"Salaam all, 2nd list kab lagay gi ?",{'Ahmad Jasra': {}}
59.08 aggregate  . Any chance in Fast BSCS?,"{'Quassain Raza': {'text': 'last year closing was 61-62,maybe neechy chala jaye merit is sal. goodluck!'}, 'Muhammad Kamran Arif': {}}"
Anyone here jis ka Ms (EE) isb campus ma admission hua ho ?,{}
Anyone here jis ka MS (EE) isb campus ma admission hua ho ?,{}
 Apply Here: https://forms.gle/8jHEXqXV7tKynK5P8,{}
,"{'Farooq Khan': {}, 'Hyder Naqvi': {}}"
,"{'Shakeel Sial': {'text': 'Uni k apny b hostels han, but out of univsty han,,,'}, 'Balaj Ali': {}}"
which uni is best for cs comsats,"{'Shakeel Sial': {'text': 'FAST is leading ever, than go for ITU as second choice'}, 'Slahuddin Ch': {}}"
Can anyone tell me about hostels in Islamabad near FAST ?,"{'Asad Chaudhry': {}, 'Sabihullah Saleh': {}}"
yr me ja rha addmsion krwanay fast ka ghlti say part 2 ki origional roll no slip ghar reh gye photo copy hn pari koi problem to nhi ho ga jo jo addmsion krwq kr aya ha plz batain?,"{'Muhammad Kamran Arif': {}, 'Gulsher Khan': {'text': 'Photocopy hai na. Agar hai tou koi problem nhi. Mein nay bhi subha admission karwaya hai aaj sirf photocopy hi mangi unho nay'}}"
,"{'Zain Naveed Rana': {}, 'Ubair Xultan': {}}"
,"{'Aafaq Hussain': {'text': ""No difference in degree, All Fastians get degree awarded from Islamabad. Studies main bhi there's no difference really. And you can get transferred if you have another student in your desired campus who wants to come to your campus or if you can clear …See More""}, 'M Usman Ashraf': {'text': 'Merit ma farq ha faculty ma b'}}"
,"{'Ubair Xultan': {'text': 'Hahahahha...Fast ap say sirf lay sakti hai...apko kabhi bhi de gi nae...lootnay wala system hai inka'}, 'Muhammad Usama Umar': {}}"
MS ki list kab upload ho gi??,"{'Umar BIlal': {}, 'Inzamam Khan': {}}"
Fast or comsats Which is better for Electrical Engineering?,"{'Umair Hassan': {}, 'Jason Smith': {'text': ""COMSATS is better, now please don't ask why Comsats is better and falan falan.!!""}}"
How to apply for Loan in fast??,"{'A Shak OOR': {}, 'Waqar Ahmad Joiya': {'text': 'Accounts office sy pocho ja k.. yahan awaam shugal laga di ap ka'}}"
,{}
Friends fast k result or merit list kahan c mlega,{'Ali Asadullah Shah': {'text': 'http://admissions.nu.edu.pk/AdmissionResult/'}}
Kindly someone please tell me that the score which the fast university site is showing. Is it score of our test or aggregate?,"{'Asim Latif': {}, 'Asim Sharif': {}}"
,"{'Asim Gujjar': {}, 'Shoaib Tariq': {}}"
Fast CS vs Fast EE Sincere Advice Please,"{'Ahmed Sufyan': {}, 'Usman Haider': {'text': 'CS'}}"
Anyone tell me about the bscs merit and tell me about the fee structure for the bscs in fast university.,"{'A Shak OOR': {}, 'Muhammad Usama Umar': {}}"
Selected in BBA? Comment your aggregate below!,"{'Rehan Shabbir': {}, 'Asim Latif': {}}"
55.8 merit.. Any chance in BBA SECOND LIST??,"{'Soban Shykh': {'text': 'I got 63, Im selected for BBA'}, 'Aamir Kamal': {'text': 'Rida Jawad ap k nts k base per hai ya Nu test ?'}}"
,"{'Muhammad Umar Tanweer': {'text': 'And some courses have Lab and Theoretical courseBoth are to be opted at same timeIf you failed in Lab you do not have to retake its Theorical course if you already passed Theorical course…See More'}, 'Ubair Xultan': {}}"
,{}
,"{'Muhammad Sanaullah': {}, 'Fareh Khan': {'text': 'Uni me student loans hote hen ager koi financial problems hen to chornay se pehle aik bar university administration se discuss zarur karlen'}}"
" Many congratulations to all who have secured admission already. Just a piece of advice to people who are about to join undergraduate school. Do NOT attend engineering school unless you have a very clear road map in your mind to follow. The job opportunities are constricted owing to declining economic outlook and you may find yourself in deep trouble if you opt for engineering just by assuming that ""engineering ka bohat scope hai"". For those who are trying to figure out which career path they should be opting for consider IT-related disciplines, Finance and Law. Explore and weigh your options carefully and once you decide what you want to do then just work hard to prove your decision right. Best of luck for your future endeavours.",{'Adil Farooq': {}}
,"{'Umar Munir': {}, 'Hamza Rauf': {'text': 'Nop no such degree program is in being offered in FAST.'}}"
Kya new students ke liye koi scholarships hein plz guide me ?,"{'Umar Munir': {'text': 'Student loan hota hae.'}, 'Muhammad Umar Tanweer': {}}"
2nd list kb lgni fast ke?,"{'Syed Muhammad Ibtisam': {}, 'Mirza Amir Shahzad': {}}"
,"{'Farooq Khan': {}, 'Hâñžłå Śïbghãt': {}}"
Cyber security better hai ya EE?????,"{'Asad Ali': {'text': 'Cyber security'}, 'Muhammad Shaad Ahmed': {}}"
is fast transportation facility is available in pindi ?,"{'Marium Tariq': {}, 'Saman Jamil': {}}"
"Salaam all, What's the merit of BBA this year ?",{}
Yrrr still confused of bba of fast..quaideazam ka bba acha hay ya  fast ka in terms of market value ??deciding finally so plzz sincere suggestions...,"{'Muhammad Jalal': {}, 'Shah Bilal': {'text': 'bahria ka bba best ha janab'}}"
Cyber security ka cut off aggregate kya bana hy,{}
Suggest me.  Electrical from FAST LHR.  Chemical/Electrical from COMSATS LHR. Electrical from ITU LHR. SE from PUCIT.... Any other Engg. From Uet LHR (Subcampus),"{'Azhar Hussain': {'text': 'SE'}, 'Hassaan Akram': {}}"
bhaio fees refund policy kai baray mai kuch bata dai,"{'Umar Munir': {}, 'Farooq Khan': {}}"
"******Serious Post Plz****** I'm selected in FAST-NU for Electrical Engineering in LHR Campus.. But I cannot afford the fee of this institution.. What could I do now?? Can I get Student Loan, Any Scholarship or any Financial Aid.??... I want to accomplish my dream for studying here.. Any Situation?? PLZ HELP.. #Serious_suggestions_needed","{'Ghulam Mustafa': {}, 'Adeen Yousaf': {}}"
Required documents for fast admission  Matric dmc copies  Inter dmc copies And cnic copies  Lakin hamre tu abi tak fsc result announce ni howa hai aur 27 july last date hai for admission tu yeh kia scene hai?,{'Syed Abdullah Mughees Zaidi': {'text': 'First Year ka result Second year ki roll no slipMatric k result ki copy…See More'}}
I got selected in FAST BSCS in Lahore Campus. Is there anyway I can switch to Islamabad Campus before the University starts in August? I want to switch due to personal reasons. It there is a way could you kindly explain it to me ? Thank You,"{'MuhaMmad ALi': {'text': 'You can...just visit isb campus and they will ask to write an application to transfer...nd thats it'}, 'Arooj Chaudhry': {'text': 'The score of 66.65 is the final aggregate or test score??'}}"
"Last date for the submission of the dues for Fast is 27th july. Comsats merit list isn't displayed yet. Comsats aggregate is 72%. I want to do bscs from fast islamabad. If i go for fast, can i switch my course ? ","{'Rehan Shabbir': {'text': 'Cyber security mein ya soch kr diya tha ky wahan koi aur nahi dy ga pr uss mein bhi nahi hua'}, 'A Shak OOR': {'text': 'go for CS in Fast (Best Advice('}}"
